features,class
"[-113.59882, 121.57067, -19.162262, 42.363937, -6.362266, 18.621931, -13.699734, 15.339802, -12.274304, 10.970945, -8.326061, 8.802088, -3.6699412, 5.7446756, -5.162783, 0.75170636, -1.687854, -0.40873003, -2.3026767, 1.2224671, -3.5328746, -1.1397805, -4.282828, -4.226084, 0.9151875, 0.91406375, -5.761807, -3.9328036, 1.5094346, 2.6984656, 5.656073, -3.2690074, -0.20606379, -2.9996982, 4.476317, -0.47685504, 6.006285, -0.059690364, -3.4585848, -1.8418322]",blues
"[-207.52383, 123.98514, 8.94702, 35.86715, 2.9095943, 21.519472, -8.556513, 23.370676, -10.103608, 11.899242, -5.558824, 5.3778763, -2.2344916, 4.220704, -6.010687, 0.92929417, -0.728403, 0.29687238, -0.28243044, 0.5306445, -4.0987844, -1.2431856, -2.8513567, -4.3501954, 3.2750847, 1.2195734, -0.013765434, -0.066608146, 3.9790335, -0.45776746, 0.8360188, -3.743217, -4.0997047, -2.4519057, 5.8348074, 3.5449877, 4.89732, -0.41559693, -1.9954146, -0.4652179]",blues
"[-90.757164, 140.44087, -29.084547, 31.686691, -13.976547, 25.753752, -13.66499, 11.634442, -11.778322, 9.714756, -13.125314, 5.7912464, -8.901966, -1.08016, -9.226244, 2.4483047, -7.7248397, -1.819024, -3.4404576, -2.2381277, -4.0523376, -0.57142246, -2.0118372, -5.386336, -5.1335306, -7.805535, -1.1687835, -0.20596696, 1.3964347, -3.00188, -1.3764814, -4.7496324, -0.37751576, 0.49346918, 0.44727054, -4.162672, -4.815749, -6.7032337, -4.425334, -0.98151916]",blues
"[-199.57513, 150.0861, 5.663404, 26.855278, 1.7700713, 14.232647, -4.827845, 9.286853, -0.75612015, 8.134435, -3.200026, 6.078081, -2.478445, -1.0815871, -2.8744543, 0.77399397, -3.3240693, 0.63631064, -0.6159676, -3.405046, -1.4968088, -0.054011583, -1.8613145, -4.709931, -3.9263315, -6.64948, -2.8977783, -3.2251306, -0.27231476, -3.8175535, -2.8219492, -4.2044272, -2.7023358, -3.8456037, -2.5244098, -4.9356093, -5.954977, -6.616996, -6.396002, -1.5011888]",blues
"[-160.35417, 126.209496, -35.581394, 22.139256, -32.47355, 10.850701, -23.35007, 0.4932491, -11.796538, 1.2035191, -13.084959, -2.8104992, -6.9344707, -7.5538754, -9.167669, -4.515863, -5.451786, -0.91595227, -4.4080176, -11.704385, -5.866304, -0.72143203, 0.95571446, -1.2184657, 4.58054, 0.30164942, -1.2800436, -4.4865327, -0.410622, 0.2792642, 8.481702, 3.646146, -3.0076735, -6.1108036, -6.9519696, -4.0705533, -1.1372155, -0.4916048, -4.786619, -3.2211275]",blues
"[-177.80176, 118.20316, -17.57063, 30.760931, -21.742554, 11.919263, -20.734299, 3.1852882, -8.580818, -0.9328852, -11.772245, -2.4087636, -9.348446, -9.942636, -3.9021835, -5.574562, -1.8393143, -2.7893167, -3.0478048, -8.109732, -2.4683328, -1.7097126, -4.2748, -4.638067, -2.3258955, 0.92919034, 4.380316, 5.1934037, 5.691942, 2.5332878, 2.618916, -4.3523993, -6.8065543, -2.914408, -1.060713, 1.9090171, 1.0149454, -3.1143415, -5.300716, -5.2596207]",blues
"[-190.06882, 130.27023, -36.362114, 33.036217, 11.093892, -0.59188175, -20.890266, 0.2784424, -6.496385, -5.5127354, -7.847404, -3.1243007, -6.6028214, -9.95, -6.5426893, -10.0722275, -10.918623, -6.9652433, -3.4394317, -6.484499, -7.109118, -7.1270657, -5.2788844, -4.594155, -3.248537, -2.902407, 1.4326024, 2.9310663, 2.11799, -1.483863, -0.6356672, 2.9653616, 2.610367, 1.7908589, -1.9822515, -5.1708612, -2.3732464, 0.14038287, 3.7044878, 5.2581644]",blues
"[-179.3723, 136.44833, -26.662588, 39.96545, 5.3108935, 10.919133, -20.559534, 8.503361, -11.349764, -3.470555, -8.415842, -6.957211, -3.5460427, -8.051759, -8.964917, -8.427482, -10.5642805, -10.785659, -4.6954694, -8.631641, -11.013335, -10.376792, -1.843774, -1.445948, -3.1292248, -1.1877847, -3.6127698, -3.2484033, -0.63257986, 0.8964797, 4.022117, 2.7066686, -0.16680875, -2.527765, -3.4568138, -2.8802347, 0.7377763, -1.9461105, -4.875629, -3.2393322]",blues
"[-121.38979, 122.49833, -14.734729, 46.122135, -8.179258, 20.172466, -19.171894, 23.036839, -11.832729, 21.154655, -6.7227974, 6.989506, -12.730549, 5.0585384, -5.1858068, -1.4536041, -7.042629, 2.694213, 3.4095309, -2.7137442, -4.271836, -0.6242572, -4.291122, -13.373034, -8.269029, -2.0969207, 10.555008, 2.9229867, -1.035578, -0.75153357, -0.50309145, -1.4110123, -1.886272, -1.8116941, 2.366849, -4.3018703, -3.8826876, -5.0936933, 0.5089749, 1.1860472]",blues
"[-213.26424, 115.16476, -11.698171, 39.015358, -20.34833, 13.082702, -9.1827, 9.017152, -14.104312, 4.271254, -6.0507803, 3.7858355, 0.22263557, -5.1068816, -0.41015333, -1.1793448, -1.9147079, -2.2936609, 2.8842604, -4.233879, 1.5943897, 2.4687598, -0.8987777, 1.8610442, 5.0366416, 0.7700354, 5.6383834, 0.44044876, -0.90267473, -2.202855, -1.8906778, -3.4581234, -0.97014093, 1.5458177, 3.1887383, 4.5513163, 1.9031553, -0.68681526, -2.7414927, -0.059063055]",blues
