features,class
"[0.36224282, 0.36781698, 0.43983436, 0.24469179, 0.247862, 0.33561644, 0.36461872, 0.43568373, 0.2959856, 0.3150803, 0.40700835, 0.3851007]",blues
"[0.4600403, 0.35018247, 0.3208068, 0.21147157, 0.20078844, 0.3307942, 0.3973788, 0.560355, 0.38417926, 0.2553258, 0.2847761, 0.3340937]",blues
"[0.27290025, 0.19595261, 0.31516546, 0.40798622, 0.5468202, 0.32169873, 0.304657, 0.28840348, 0.3341523, 0.4018187, 0.3843895, 0.5885082]",blues
"[0.34137166, 0.40862367, 0.52431905, 0.5470129, 0.6570751, 0.51152366, 0.35555357, 0.25161317, 0.24627058, 0.31511128, 0.31657928, 0.38319886]",blues
"[0.1926048, 0.3172665, 0.39202204, 0.25582698, 0.19266348, 0.530221, 0.2537794, 0.13912144, 0.27642435, 0.3243265, 0.5551238, 0.2729307]",blues
"[0.23832263, 0.3002374, 0.61718655, 0.23574117, 0.1239871, 0.24376832, 0.27965158, 0.4112927, 0.24398582, 0.28553346, 0.28433675, 0.36621904]",blues
"[0.42551336, 0.22324328, 0.13134763, 0.1525974, 0.24195808, 0.49116936, 0.24550849, 0.16911277, 0.28835577, 0.46184453, 0.3592757, 0.3071861]",blues
"[0.25935704, 0.26412147, 0.3253581, 0.21773893, 0.21527727, 0.29576188, 0.19005173, 0.18074939, 0.26434094, 0.39047354, 0.6486375, 0.4365911]",blues
"[0.31967524, 0.304487, 0.36661544, 0.42213288, 0.52381116, 0.45111907, 0.4934428, 0.35275286, 0.3801384, 0.4617059, 0.3663595, 0.4647148]",blues
"[0.24824716, 0.27315456, 0.4885123, 0.268005, 0.1797185, 0.26772532, 0.22258571, 0.41535112, 0.2726887, 0.18117544, 0.22990076, 0.24054769]",blues
"[0.4620903, 0.17099184, 0.19255668, 0.37835655, 0.35394943, 0.45925713, 0.27628475, 0.32396185, 0.1876538, 0.20239782, 0.32359982, 0.3165386]",blues
"[0.2483404, 0.23031716, 0.30519623, 0.41412064, 0.65872407, 0.541794, 0.35265967, 0.34855935, 0.34550485, 0.34785601, 0.27667347, 0.3209025]",blues
"[0.30373913, 0.16060717, 0.21950647, 0.2033596, 0.19669212, 0.26667142, 0.30215812, 0.15772308, 0.18236226, 0.21339056, 0.3753589, 0.6504872]",blues
"[0.1276945, 0.14224939, 0.17113936, 0.14699554, 0.18999653, 0.23210022, 0.15635878, 0.21675123, 0.3452764, 0.38490975, 0.69176924, 0.37368312]",blues
