features,class
"[1.4855074228359737, 0.520658226391927, -0.13744441586049014, -0.06643826144039879, -0.11588600120456467, -0.09147489462419142, -0.03455859181565795, -0.052138279928272094, -0.09185241125813572, -0.07102307205315568, -0.05799906824176619, -0.01509030221907376, 0.020607323163301033]",blues
"[1.0738038098892013, 0.5237781394770105, 0.11076097398160455, -0.018628520351100932, -0.0467223147542106, -0.06518385581670465, -0.07104711183642304, -0.07708861307486096, -0.07470544316706237, -0.03396135329481906, -0.050903055842537376, -0.030398974826020695, -0.03539852742008588]",blues
"[1.8221175240420988, 0.6152603289981299, -0.3239245985870584, -0.12179905261359895, -0.07995858380360567, -0.17376165797455442, -0.20888979223796514, -0.12255430255087327, -0.09452664836392452, -0.0925034030340554, -0.04107771197177828, -0.033727902865867486, -0.02888073985176751]",blues
"[1.259443149350743, 0.7799979711432755, 0.2812535113098014, 0.07281360734293221, 0.0052226634411853086, -0.03839803050043666, -0.1281955253991955, -0.18182636878928307, -0.2046103652369911, -0.2054295644142504, -0.16402828150841237, -0.16530144574707042, -0.12290293318406305]",blues
"[1.113140421048558, 0.13917166183663796, -0.4116822595468327, -0.19679834929745738, -0.09069997160759857, 0.01743264398635704, -0.06357087514403187, -0.01593991807194996, 0.00835399782888746, 0.004812188632197269, 0.030618001114945212, 0.029223098417670332, -0.010989831378085601]",blues
"[1.1739464897582985, 0.22467235159734533, -0.24951801056269432, -0.2608333090351475, -0.23498700316994697, -0.04433195842004934, -0.06936352363728678, 0.0017086907950031635, 0.014100482349746995, 0.0643068386239647, 0.054816344106733965, 0.018436529452340384, -0.041166022365488]",blues
"[1.336494115695995, 0.31177588356337155, -0.33588298971249386, -0.13875713666429218, -0.2817097508026138, -0.27802909178213636, -0.07232798299940105, 0.0012145175567408802, -0.041602164725790404, 0.0299478751582103, 0.1124001274337171, 0.07128725894660755, 0.0323093504957085]",blues
"[1.289869570405424, 0.40760850440671, -0.17328238592137624, -0.15166482688165003, -0.31498905984359793, -0.2915277444297667, -0.16697541431344945, -0.08128258495727869, -0.032340147733466204, 0.055316096020036995, 0.09908459862573511, 0.0807508222323667, 0.056127359992661933]",blues
"[1.5284600521640748, 0.6440817708273349, 0.09212898512968169, 0.07814045851473604, -0.048555697614922365, -0.07573525387299085, -0.09476436959958043, -0.1630802148122856, -0.20688291924729538, -0.1270470666119071, -0.06895071381501776, -0.06493873610327007, -0.121574385420364]",blues
"[0.9496690838675649, 0.24452346760299642, -0.1888156469986029, -0.18312543684044347, -0.15958651133936483, 0.0416623346862997, 0.015596846259828198, -0.01873496808755858, 0.027460100051253353, 0.011535606735790458, 0.004281722908808508, 0.028514660647130513, -0.018753255132423062]",blues
